handle,title,vendor,formattedcode,gram,qty,price,archived,archivedon,addedon,lastfetcheddate
coastal-dakota-rens601073,Vinyl Coastal Dakota RENS6010 Nature Stone,republicfloor,republicfloor-RENS6010,22679.6185,100000,69.86,,,25-05-2021,25-05-2021
post-oak-rewo410772,Vinyl Post Oak REWO4107 The Woodland,republicfloor,republicfloor-REWO4107,22679.6185,100000,84.98,,,25-05-2021,25-05-2021
chestnut-oak-rewo410671,Chestnut Oak REWO4106 The Woodland,republicfloor,republicfloor-REWO4106,22679.6185,100000,84.98,,,25-05-2021,25-05-2021
arizona-white-oak-rewo410570,Vinyl Arizona White Oak REWO4105 The Woodland,republicfloor,republicfloor-REWO4105,22679.6185,100000,84.98,,,25-05-2021,25-05-2021
bear-oak-rewo410469,Vinyl Bear Oak REWO4104 The Woodland,republicfloor,republicfloor-REWO4104,22679.6185,100000,84.98,,,25-05-2021,25-05-2021
southern-oak-rewo410368,Vinyl Southern Oak REWO4103 The Woodland,republicfloor,republicfloor-REWO4103,22679.6185,100000,84.98,,,25-05-2021,25-05-2021
canyon-oak-rewo410267,Vinyl Canyon Oak REWO4102 The Woodland,republicfloor,republicfloor-REWO4102,22679.6185,100000,84.98,,,25-05-2021,25-05-2021
valley-oak-rewo410166,Vinyl Valley Oak REWO4101 The Woodland,republicfloor,republicfloor-REWO4101,22679.6185,100000,84.98,,,25-05-2021,25-05-2021
monterey-cypress-repo400565,Vinyl Monterey Cypress REPO4005 The Pacific Oak,republicfloor,republicfloor-REPO4005,22679.6185,100000,78.07,,,25-05-2021,25-05-2021
western-fir-repo400464,Vinyl Western Fir REPO4004 The Pacific Oak,republicfloor,republicfloor-REPO4004,22679.6185,100000,78.07,,,25-05-2021,25-05-2021
california-buckeye-repo400363,Vinyl California Buckeye REPO4003 The Pacific Oak,republicfloor,republicfloor-REPO4003,22679.6185,100000,78.07,,,25-05-2021,25-05-2021
coyote-brush-repo400161,Vinyl Coyote Brush REPO4001 The Pacific Oak,republicfloor,republicfloor-REPO4001,22679.6185,100000,78.07,,,25-05-2021,25-05-2021
gray-mist-rewh550560,Gray Mist REWH5505,republicfloor,republicfloor-REWH5505,22679.6185,1000000,70.95,,,25-05-2021,25-05-2021
